,track,artist,album,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
103,Better Now,Post Malone,beerbongs & bentleys,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4
104,Happier,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214290,4
105,Work Out,J. Cole,Cole World: The Sideline Story,2wAJTrFhCnQyNSD3oUgTZO,0.831,0.427,2,-6.903,1,0.106,0.0531,0.0,0.307,0.216,93.004,audio_features,2wAJTrFhCnQyNSD3oUgTZO,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,https://api.spotify.com/v1/tracks/2wAJTrFhCnQyNSD3oUgTZO,https://api.spotify.com/v1/audio-analysis/2wAJTrFhCnQyNSD3oUgTZO,235320,4
106,Trap Queen,Fetty Wap,Fetty Wap (Deluxe),2d8JP84HNLKhmd6IYOoupQ,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,audio_features,2d8JP84HNLKhmd6IYOoupQ,spotify:track:2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/tracks/2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/audio-analysis/2d8JP84HNLKhmd6IYOoupQ,222093,4
107,In My Feelings,Drake,Scorpion,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,audio_features,2G7V7zsVDxg1yRsu7Ew9RJ,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ,https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ,217925,4
108,One Dance,Drake,Views,1zi7xx7UVEFkmKfv06H8x0,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.00188,0.329,0.37,103.967,audio_features,1zi7xx7UVEFkmKfv06H8x0,spotify:track:1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/audio-analysis/1zi7xx7UVEFkmKfv06H8x0,173987,4
109,Again,Fetty Wap,Fetty Wap (Deluxe),3ESSGgWzRf1xvP7G5hHMhB,0.748,0.733,11,-4.421,0,0.072,0.0062,0.0,0.329,0.291,93.019,audio_features,3ESSGgWzRf1xvP7G5hHMhB,spotify:track:3ESSGgWzRf1xvP7G5hHMhB,https://api.spotify.com/v1/tracks/3ESSGgWzRf1xvP7G5hHMhB,https://api.spotify.com/v1/audio-analysis/3ESSGgWzRf1xvP7G5hHMhB,312240,4
110,My Way (feat. Monty),Fetty Wap,Fetty Wap (Deluxe),1WoOzgvz6CgH4pX6a1RKGp,0.748,0.741,6,-3.103,1,0.0531,0.00419,0.0,0.147,0.537,128.077,audio_features,1WoOzgvz6CgH4pX6a1RKGp,spotify:track:1WoOzgvz6CgH4pX6a1RKGp,https://api.spotify.com/v1/tracks/1WoOzgvz6CgH4pX6a1RKGp,https://api.spotify.com/v1/audio-analysis/1WoOzgvz6CgH4pX6a1RKGp,213053,4
111,Birthday (feat. Monty),Fetty Wap,Birthday (feat. Monty),3VN7XvP708u6V9U0CxOlzi,0.816,0.621,0,-6.352,1,0.181,0.18,0.0,0.085,0.403,97.015,audio_features,3VN7XvP708u6V9U0CxOlzi,spotify:track:3VN7XvP708u6V9U0CxOlzi,https://api.spotify.com/v1/tracks/3VN7XvP708u6V9U0CxOlzi,https://api.spotify.com/v1/audio-analysis/3VN7XvP708u6V9U0CxOlzi,188041,4
112,679 (Feat. Remy Boyz),Fetty Wap,679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,7,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,audio_features,5NQbUaeTEOGdD6hHcre0dZ,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/tracks/5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,196693,4
113,Feel This Moment (feat. Christina Aguilera),Pitbull,Global Warming: Meltdown (Deluxe Version),0Hf4aIJpsN4Os2f0y0VqWl,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,audio_features,0Hf4aIJpsN4Os2f0y0VqWl,spotify:track:0Hf4aIJpsN4Os2f0y0VqWl,https://api.spotify.com/v1/tracks/0Hf4aIJpsN4Os2f0y0VqWl,https://api.spotify.com/v1/audio-analysis/0Hf4aIJpsN4Os2f0y0VqWl,229507,4
114,Truth Hurts,Lizzo,Truth Hurts,3HWzoMvoF3TQfYg4UPszDq,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,3HWzoMvoF3TQfYg4UPszDq,spotify:track:3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/tracks/3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/audio-analysis/3HWzoMvoF3TQfYg4UPszDq,173325,4
115,Can't Get You Out of My Head,Kylie Minogue,Fever,3E7ZwUMJFqpsDOJzEkBrQ7,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,audio_features,3E7ZwUMJFqpsDOJzEkBrQ7,spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7,https://api.spotify.com/v1/tracks/3E7ZwUMJFqpsDOJzEkBrQ7,https://api.spotify.com/v1/audio-analysis/3E7ZwUMJFqpsDOJzEkBrQ7,230640,4
116,Jai Ho! (You Are My Destiny),A.R. Rahman,Jai Ho! (You Are My Destiny),7Kpqjspw4Y7HrvItIRcBiW,0.657,0.941,8,-3.919,0,0.061,0.0476,0.0,0.0797,0.879,136.202,audio_features,7Kpqjspw4Y7HrvItIRcBiW,spotify:track:7Kpqjspw4Y7HrvItIRcBiW,https://api.spotify.com/v1/tracks/7Kpqjspw4Y7HrvItIRcBiW,https://api.spotify.com/v1/audio-analysis/7Kpqjspw4Y7HrvItIRcBiW,222400,4
117,One Two Step (Feat. Missy Elliott),Ciara,Goodies,7uKcScNXuO3MWw6LowBjW1,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,audio_features,7uKcScNXuO3MWw6LowBjW1,spotify:track:7uKcScNXuO3MWw6LowBjW1,https://api.spotify.com/v1/tracks/7uKcScNXuO3MWw6LowBjW1,https://api.spotify.com/v1/audio-analysis/7uKcScNXuO3MWw6LowBjW1,203787,4
118,Higher,The Saturdays,Headlines,0QVAlchLCx15ZLSoR9Wg1B,0.639,0.862,10,-3.292,1,0.0341,0.049,6.81e-06,0.264,0.596,117.011,audio_features,0QVAlchLCx15ZLSoR9Wg1B,spotify:track:0QVAlchLCx15ZLSoR9Wg1B,https://api.spotify.com/v1/tracks/0QVAlchLCx15ZLSoR9Wg1B,https://api.spotify.com/v1/audio-analysis/0QVAlchLCx15ZLSoR9Wg1B,207613,4
119,Superstar,Jamelia,Thank You,3oobWqIgYrSRg18uqRuPIF,0.801,0.645,1,-6.93,1,0.0356,0.0457,0.0,0.0357,0.824,110.01,audio_features,3oobWqIgYrSRg18uqRuPIF,spotify:track:3oobWqIgYrSRg18uqRuPIF,https://api.spotify.com/v1/tracks/3oobWqIgYrSRg18uqRuPIF,https://api.spotify.com/v1/audio-analysis/3oobWqIgYrSRg18uqRuPIF,215480,4
120,Crazy In Love - Homecoming Live,Beyoncé,HOMECOMING: THE LIVE ALBUM,10OaEuICuFoKLq48NoMblA,0.401,0.769,2,-8.319,1,0.158,0.000263,0.000458,0.327,0.402,99.226,audio_features,10OaEuICuFoKLq48NoMblA,spotify:track:10OaEuICuFoKLq48NoMblA,https://api.spotify.com/v1/tracks/10OaEuICuFoKLq48NoMblA,https://api.spotify.com/v1/audio-analysis/10OaEuICuFoKLq48NoMblA,167348,4
121,Love on Top,Beyoncé,4,1z6WtY7X4HQJvzxC4UgkSf,0.652,0.748,0,-5.242,1,0.0887,0.0849,0.0,0.604,0.652,94.1,audio_features,1z6WtY7X4HQJvzxC4UgkSf,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/tracks/1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/audio-analysis/1z6WtY7X4HQJvzxC4UgkSf,267413,4
122,Why iii Love The Moon.,Phony Ppl,Yesterday's Tomorrow,2x5Frs6ts14U4MSLrQQlXg,0.706,0.483,1,-7.929,1,0.0393,0.547,1.94e-06,0.136,0.663,92.002,audio_features,2x5Frs6ts14U4MSLrQQlXg,spotify:track:2x5Frs6ts14U4MSLrQQlXg,https://api.spotify.com/v1/tracks/2x5Frs6ts14U4MSLrQQlXg,https://api.spotify.com/v1/audio-analysis/2x5Frs6ts14U4MSLrQQlXg,331827,4
123,Into You,Ariana Grande,Dangerous Woman,2meEiZKWkiN28gITzFwQo5,0.623,0.734,9,-5.95,1,0.107,0.0162,1.9e-06,0.145,0.372,107.853,audio_features,2meEiZKWkiN28gITzFwQo5,spotify:track:2meEiZKWkiN28gITzFwQo5,https://api.spotify.com/v1/tracks/2meEiZKWkiN28gITzFwQo5,https://api.spotify.com/v1/audio-analysis/2meEiZKWkiN28gITzFwQo5,244453,4
124,fake smile,Ariana Grande,thank u next,3wFLWP0FcIqHK1wb1CPthQ,0.45,0.619,9,-7.412,1,0.372,0.329,0.0,0.319,0.427,83.3,audio_features,3wFLWP0FcIqHK1wb1CPthQ,spotify:track:3wFLWP0FcIqHK1wb1CPthQ,https://api.spotify.com/v1/tracks/3wFLWP0FcIqHK1wb1CPthQ,https://api.spotify.com/v1/audio-analysis/3wFLWP0FcIqHK1wb1CPthQ,208880,4
125,Start Wit Me (feat. Gunna),Roddy Ricch,Please Excuse Me For Being Antisocial,7A20WnLkjtZU2d7hIB6Ziu,0.886,0.479,4,-8.054,0,0.334,0.077,0.0,0.135,0.408,130.029,audio_features,7A20WnLkjtZU2d7hIB6Ziu,spotify:track:7A20WnLkjtZU2d7hIB6Ziu,https://api.spotify.com/v1/tracks/7A20WnLkjtZU2d7hIB6Ziu,https://api.spotify.com/v1/audio-analysis/7A20WnLkjtZU2d7hIB6Ziu,158692,4
126,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,196653,4
